시도,시군구,total_recent_3m,total_recent_6m,시군구내비중_최근3m,시도내비중_최근3m,서울외지비중_최근3m,기타외지비중_최근3m,시군구내비중_최근6m,시도내비중_최근6m,서울외지비중_최근6m,기타외지비중_최근6m,시군구내비중_변화_3mYoY,시도내비중_변화_3mYoY,서울외지비중_변화_3mYoY,기타외지비중_변화_3mYoY
경기도,화성시,4874.0,8176.0,59.2,27.6,0.0,13.3,59.7,28.0,0.0,12.3,-10.399999999999991,7.100000000000001,0.0,3.5
경기도,용인시,4472.0,8695.0,41.1,41.2,0.0,17.7,41.5,40.8,0.0,17.7,-3.299999999999997,4.300000000000004,0.0,-1.1000000000000014
경상남도,창원시,3699.0,6654.0,61.7,29.4,0.0,8.9,62.1,28.8,0.0,9.1,-3.3999999999999915,2.6999999999999993,0.0,0.5999999999999996
경기도,수원시,3573.0,8006.0,41.6,45.5,0.0,12.8,46.9,40.8,0.0,12.3,-6.199999999999996,7.299999999999997,0.0,-1.1999999999999993
충청북도,청주시,3411.0,6990.0,55.9,26.5,0.0,17.6,58.7,26.1,0.0,15.3,2.6000000000000014,1.1000000000000014,0.0,-3.6999999999999993
전라북도,전주시,3103.0,6139.0,61.6,26.8,0.0,11.6,64.5,25.9,0.0,9.6,-3.6999999999999957,2.1999999999999993,0.0,1.5
경기도,고양시,2655.0,4751.0,49.1,22.8,0.0,28.1,49.9,22.0,0.0,28.1,1.1000000000000014,1.5,0.0,-2.6999999999999993
충청남도,천안시,2583.0,5021.0,53.4,21.8,0.0,24.9,55.4,20.7,0.0,23.9,0.10000000000000142,2.5,0.0,-2.5
경기도,남양주시,2455.0,4242.0,51.8,17.5,0.0,30.8,52.9,17.6,0.0,29.5,-3.6000000000000014,-0.1999999999999993,0.0,3.900000000000002
경기도,용인시 기흥구,2327.0,3797.0,40.8,42.7,0.0,16.5,41.6,42.6,0.0,15.8,-8.100000000000001,6.300000000000004,0.0,1.8000000000000007
경기도,부천시,2089.0,3630.0,50.2,19.2,0.0,30.6,52.7,18.3,0.0,29.0,-1.6999999999999957,-0.1999999999999993,0.0,1.9000000000000021
경상남도,진주시,2007.0,3141.0,85.8,9.6,0.0,4.6,83.9,10.7,0.0,5.4,3.5,-1.5999999999999996,0.0,-2.0
세종특별자치시,세종특별자치시,1998.0,3541.0,72.1,0.0,0.0,27.9,74.6,0.0,0.0,25.4,5.299999999999997,0.0,0.0,-5.300000000000004
인천광역시,서구,1957.0,3573.0,57.3,16.4,0.0,26.3,56.5,16.5,0.0,26.9,3.8999999999999986,1.9999999999999982,0.0,-5.900000000000002
대구광역시,달서구,1881.0,3382.0,52.6,21.8,0.0,25.6,57.0,23.2,0.0,19.9,-9.799999999999997,-3.599999999999998,0.0,13.3
경상남도,김해시,1870.0,3681.0,69.5,13.1,0.0,17.4,72.6,12.0,0.0,15.5,-2.200000000000003,0.7999999999999989,0.0,1.3999999999999986
경기도,시흥시,1863.0,3981.0,68.5,17.3,0.0,14.2,73.3,14.5,0.0,12.2,-13.5,8.0,0.0,5.5
대전광역시,서구,1861.0,3247.0,54.7,26.6,0.0,18.7,57.2,25.3,0.0,17.5,-1.8999999999999986,4.100000000000001,0.0,-2.1999999999999993
경기도,평택시,1858.0,3328.0,60.7,20.1,0.0,19.2,61.3,19.5,0.0,19.2,-5.700000000000003,3.1000000000000014,0.0,2.6999999999999993
경기도,안양시,1832.0,4244.0,39.7,36.5,0.0,23.7,41.7,35.3,0.0,23.0,-6.099999999999994,3.1000000000000014,0.0,2.8999999999999986
대전광역시,유성구,1730.0,2855.0,65.2,17.7,0.0,17.1,63.7,19.0,0.0,17.3,5.200000000000003,-4.800000000000001,0.0,-0.3999999999999986
충청남도,천안시 서북구,1690.0,3300.0,53.8,20.9,0.0,25.3,56.7,19.3,0.0,24.0,-2.0,3.3999999999999986,0.0,-1.3999999999999986
전라북도,전주시 덕진구,1652.0,3397.0,57.9,26.9,0.0,15.2,64.5,24.6,0.0,10.9,-6.0,-0.10000000000000142,0.0,6.1
인천광역시,연수구,1651.0,2765.0,55.1,21.4,0.0,23.4,54.5,22.2,0.0,23.3,-0.7999999999999972,-0.40000000000000213,0.0,1.0999999999999979
대구광역시,수성구,1637.0,2905.0,49.9,30.7,0.0,19.4,51.0,30.4,0.0,18.6,-2.8000000000000043,1.5,0.0,1.2999999999999972
경상북도,구미시,1607.0,2991.0,78.6,10.5,0.0,10.9,78.6,10.9,0.0,10.5,3.5999999999999943,-0.9000000000000004,0.0,-2.6999999999999993
경기도,성남시,1573.0,4895.0,36.7,37.0,0.0,26.3,37.5,36.9,0.0,25.5,-7.299999999999997,2.299999999999997,0.0,5.0
강원도,원주시,1564.0,2949.0,72.4,9.3,0.0,18.4,72.0,9.1,0.0,18.9,5.400000000000006,-0.09999999999999964,0.0,-5.200000000000003
부산광역시,부산진구,1513.0,2601.0,52.3,34.6,0.0,13.1,53.7,34.2,0.0,12.1,1.5,6.700000000000003,0.0,-8.200000000000001
울산광역시,남구,1508.0,2878.0,60.1,29.5,0.0,10.3,60.9,29.6,0.0,9.5,-0.8999999999999986,3.1999999999999993,0.0,-2.3999999999999986
경기도,수원시 권선구,1481.0,2931.0,44.1,42.5,0.0,13.4,55.6,34.3,0.0,10.1,-13.600000000000001,11.3,0.0,2.3000000000000007
경기도,용인시 수지구,1475.0,3666.0,36.2,43.7,0.0,20.1,37.2,42.4,0.0,20.3,-0.8999999999999986,3.700000000000003,0.0,-2.799999999999997
부산광역시,해운대구,1475.0,2823.0,53.0,29.4,0.0,17.6,54.1,29.0,0.0,16.9,-8.600000000000001,2.0,0.0,6.500000000000002
경상남도,창원시 성산구,1462.0,2624.0,59.7,31.1,0.0,9.2,59.6,30.9,0.0,9.5,-4.700000000000003,4.600000000000001,0.0,0.09999999999999964
전라북도,전주시 완산구,1451.0,2742.0,65.7,26.7,0.0,7.5,64.4,27.6,0.0,8.0,-0.8999999999999915,4.399999999999999,0.0,-3.5999999999999996
충청남도,아산시,1438.0,2807.0,58.2,16.6,0.0,25.2,58.3,16.5,0.0,25.3,-0.5999999999999943,0.0,0.0,0.6999999999999993
광주광역시,북구,1398.0,2531.0,59.5,21.4,0.0,19.1,60.3,22.1,0.0,17.6,-3.299999999999997,-0.40000000000000213,0.0,3.700000000000001
경상남도,양산시,1393.0,2598.0,65.8,5.0,0.0,29.2,66.1,4.2,0.0,29.8,0.8999999999999915,0.40000000000000036,0.0,-1.3000000000000007
대구광역시,북구,1374.0,2595.0,60.6,24.7,0.0,14.6,60.7,24.0,0.0,15.3,-2.8999999999999986,1.8999999999999986,0.0,0.9000000000000004
경기도,의정부시,1364.0,2919.0,57.0,13.2,0.0,29.8,61.1,12.9,0.0,25.9,-4.200000000000003,1.299999999999999,0.0,2.900000000000002
인천광역시,부평구,1362.0,2526.0,53.4,14.9,0.0,31.7,53.4,14.4,0.0,32.1,2.0,0.20000000000000107,0.0,-2.3000000000000007
서울특별시,송파구,1341.0,2331.0,39.9,36.5,0.0,23.6,39.6,37.4,0.0,23.1,3.1999999999999957,-1.2999999999999972,0.0,-1.7999999999999972
광주광역시,광산구,1311.0,2392.0,64.5,17.8,0.0,17.7,64.5,19.3,0.0,16.2,-4.299999999999997,2.1000000000000014,0.0,2.1999999999999993
경상북도,포항시,1298.0,2599.0,65.6,21.0,0.0,13.3,66.8,21.5,0.0,11.8,-1.0,2.1000000000000014,0.0,-1.1999999999999993
서울특별시,성동구,1267.0,2440.0,6.9,87.4,0.0,5.8,15.2,69.0,0.0,15.8,-22.9,40.10000000000001,0.0,-17.099999999999998
경기도,구리시,1258.0,1965.0,30.8,25.5,0.0,43.6,32.7,24.4,0.0,43.0,-39.5,14.5,0.0,24.900000000000002
경기도,고양시 덕양구,1243.0,2216.0,49.1,17.1,0.0,33.9,50.4,15.5,0.0,34.1,2.3000000000000043,5.000000000000002,0.0,-7.200000000000003
충청북도,청주시 흥덕구,1240.0,2407.0,55.5,24.1,0.0,20.4,55.5,25.2,0.0,19.3,4.200000000000003,1.0,0.0,-5.100000000000001
경기도,김포시,1236.0,2277.0,47.5,12.9,0.0,39.6,48.1,12.3,0.0,39.7,-17.900000000000006,3.5999999999999996,0.0,14.400000000000002
서울특별시,노원구,1209.0,2797.0,45.7,37.1,0.0,17.2,44.2,36.9,0.0,18.8,0.8000000000000043,1.0,0.0,-1.8000000000000007
경기도,수원시 영통구,1205.0,3014.0,45.3,43.7,0.0,11.0,44.6,42.7,0.0,12.7,2.8999999999999986,2.9000000000000057,0.0,-5.800000000000001
경기도,안산시,1202.0,2144.0,59.7,30.4,0.0,9.9,59.4,30.2,0.0,10.4,-4.8999999999999915,3.8999999999999986,0.0,1.0
경기도,부천시 원미구,1199.0,2028.0,49.7,18.9,0.0,31.4,50.3,18.7,0.0,31.0,-2.1999999999999957,1.0,0.0,1.2999999999999972
부산광역시,동래구,1199.0,2219.0,47.3,37.9,0.0,14.8,46.6,39.2,0.0,14.2,0.7999999999999972,-3.8999999999999986,0.0,3.1000000000000014
경기도,군포시,1190.0,1892.0,52.7,28.4,0.0,18.9,54.4,27.9,0.0,17.7,-2.1999999999999957,0.1999999999999993,0.0,1.8999999999999986
전라남도,순천시,1169.0,2202.0,73.6,14.9,0.0,11.5,74.1,15.9,0.0,9.9,-8.800000000000011,3.5999999999999996,0.0,5.2
경기도,파주시,1150.0,2124.0,63.1,19.0,0.0,17.9,62.1,19.3,0.0,18.6,-8.600000000000001,4.1,0.0,4.399999999999999
대구광역시,동구,1089.0,2016.0,52.7,24.2,0.0,23.1,54.9,24.0,0.0,21.2,-8.5,5.0,0.0,3.5
인천광역시,남동구,1082.0,2017.0,58.4,20.0,0.0,21.6,57.8,19.7,0.0,22.5,-5.399999999999999,1.0,0.0,4.400000000000002
부산광역시,남구,1018.0,1795.0,47.2,39.5,0.0,13.4,48.9,38.4,0.0,12.7,-2.6999999999999957,2.1000000000000014,0.0,0.7000000000000011
부산광역시,연제구,1002.0,1875.0,40.8,47.6,0.0,11.6,41.9,47.6,0.0,10.5,-0.8000000000000043,1.3999999999999986,0.0,-0.5999999999999996
경기도,안양시 동안구,971.0,2775.0,41.5,37.6,0.0,20.9,43.0,36.1,0.0,20.9,-5.799999999999997,3.6000000000000014,0.0,2.1999999999999993
경기도,양주시,968.0,1754.0,58.5,20.8,0.0,20.8,56.0,22.3,0.0,21.7,9.899999999999999,-3.3000000000000007,0.0,-6.5
울산광역시,북구,966.0,1966.0,62.6,22.8,0.0,14.6,63.8,22.7,0.0,13.5,2.6000000000000014,2.1000000000000014,0.0,-4.700000000000001
전라남도,광양시,937.0,1435.0,42.3,10.2,0.0,47.5,51.8,11.7,0.0,36.4,-26.60000000000001,-2.3000000000000007,0.0,28.9
강원도,춘천시,926.0,1849.0,79.5,8.5,0.0,12.0,78.3,9.4,0.0,12.3,4.599999999999994,0.0,0.0,-4.5
부산광역시,북구,916.0,1687.0,63.3,22.9,0.0,13.8,63.2,23.2,0.0,13.6,0.3999999999999986,0.1999999999999993,0.0,-0.5999999999999996
전라북도,군산시,913.0,1746.0,73.1,8.8,0.0,18.2,73.3,8.3,0.0,18.4,-2.3000000000000114,1.9000000000000004,0.0,0.3999999999999986
충청남도,천안시 동남구,893.0,1721.0,52.6,23.3,0.0,24.1,52.9,23.3,0.0,23.8,3.8000000000000043,0.8000000000000007,0.0,-4.599999999999998
울산광역시,중구,889.0,1541.0,47.1,30.7,0.0,22.2,51.3,33.2,0.0,15.5,-9.600000000000001,-1.5000000000000036,0.0,11.1
대구광역시,달성군,880.0,1652.0,59.9,23.3,0.0,16.8,60.2,23.4,0.0,16.4,0.6000000000000014,-1.1999999999999993,0.0,0.6000000000000014
경기도,하남시,871.0,3003.0,40.2,15.7,0.0,44.1,47.6,14.3,0.0,38.1,-25.599999999999994,4.6,0.0,21.0
경기도,안양시 만안구,861.0,1469.0,37.7,35.3,0.0,26.9,39.2,33.8,0.0,27.0,-4.5,3.3999999999999986,0.0,1.0
광주광역시,서구,858.0,1635.0,52.7,30.1,0.0,17.2,53.9,29.7,0.0,16.5,0.4000000000000057,2.400000000000002,0.0,-2.8000000000000007
경기도,성남시 분당구,853.0,2922.0,40.9,36.6,0.0,22.5,43.2,36.1,0.0,20.7,-7.800000000000004,1.6000000000000014,0.0,6.199999999999999
경기도,광명시,847.0,2382.0,35.1,22.2,0.0,42.7,35.1,22.8,0.0,42.1,-9.799999999999997,2.3999999999999986,0.0,7.400000000000006
경상북도,포항시 북구,845.0,1646.0,64.7,22.6,0.0,12.7,65.7,22.5,0.0,11.7,-1.8999999999999915,1.0,0.0,0.7999999999999989
서울특별시,성북구,838.0,2224.0,36.3,47.1,0.0,16.6,31.9,46.8,0.0,21.3,0.5999999999999943,8.200000000000003,0.0,-8.799999999999997
서울특별시,강남구,835.0,1503.0,47.3,32.2,0.0,20.5,45.4,34.7,0.0,19.9,5.799999999999997,-4.899999999999999,0.0,-0.8999999999999986
서울특별시,강서구,828.0,2264.0,44.7,29.3,0.0,26.0,45.4,29.4,0.0,25.2,-8.899999999999999,6.199999999999999,0.0,2.6999999999999993
제주특별자치도,제주시,824.0,1390.0,91.0,2.8,0.0,6.2,89.6,3.3,0.0,7.1,2.9000000000000057,-0.20000000000000018,0.0,-2.7
경기도,광주시,818.0,1457.0,49.5,33.0,0.0,17.5,50.8,32.1,0.0,17.1,-7.299999999999997,7.5,0.0,-0.1999999999999993
부산광역시,사하구,812.0,1419.0,71.8,16.7,0.0,11.5,70.1,19.0,0.0,10.9,2.3999999999999915,-1.0,0.0,-1.5
인천광역시,미추홀구,809.0,1588.0,54.1,26.3,0.0,19.5,57.0,25.6,0.0,17.4,0.5,-2.599999999999998,0.0,1.8999999999999986
경기도,고양시 일산서구,793.0,1395.0,48.2,26.9,0.0,25.0,48.8,27.0,0.0,24.2,-0.6999999999999957,-1.5,0.0,2.3000000000000007
전라남도,목포시,792.0,1992.0,67.9,21.3,0.0,10.7,76.8,15.1,0.0,8.1,3.1000000000000085,-1.0,0.0,-2.200000000000001
충청남도,당진시,775.0,1232.0,55.2,27.7,0.0,17.0,59.7,20.0,0.0,20.3,-9.799999999999997,16.2,0.0,-6.5
전라북도,익산시,772.0,1516.0,68.5,16.2,0.0,15.3,70.6,14.8,0.0,14.6,-5.099999999999994,2.0,0.0,3.1000000000000014
경상북도,경산시,762.0,1483.0,61.4,10.0,0.0,28.6,61.7,10.6,0.0,27.7,-4.699999999999996,0.40000000000000036,0.0,4.200000000000003
충청북도,청주시 서원구,760.0,1444.0,44.3,33.7,0.0,22.0,47.9,32.7,0.0,19.4,-8.900000000000006,6.300000000000004,0.0,2.6000000000000014
경기도,오산시,735.0,1309.0,44.5,42.4,0.0,13.1,44.5,41.4,0.0,14.1,-10.0,8.0,0.0,2.0
울산광역시,울주군,735.0,1577.0,63.9,23.9,0.0,12.1,65.9,24.2,0.0,10.0,-1.3999999999999986,3.299999999999997,0.0,-2.0
인천광역시,계양구,728.0,1338.0,53.0,15.9,0.0,31.0,53.9,16.3,0.0,29.8,-9.200000000000003,-0.7000000000000011,0.0,9.8
경기도,부천시 소사구,727.0,1238.0,50.1,21.2,0.0,28.7,54.4,19.9,0.0,25.7,-1.7999999999999972,0.3000000000000007,0.0,1.5
경기도,안산시 단원구,718.0,1312.0,62.0,28.1,0.0,9.9,60.4,29.0,0.0,10.5,-2.5,0.20000000000000284,0.0,2.3000000000000007
충청북도,청주시 상당구,718.0,1405.0,59.7,29.1,0.0,11.1,59.7,29.9,0.0,10.4,6.300000000000004,2.8000000000000007,0.0,-9.1
서울특별시,구로구,711.0,1624.0,37.0,44.3,0.0,18.7,38.6,39.0,0.0,22.4,-3.1000000000000014,8.599999999999994,0.0,-5.5
충청북도,충주시,707.0,1387.0,76.7,5.9,0.0,17.4,78.4,4.9,0.0,16.7,0.5,0.5,0.0,-0.9000000000000021
부산광역시,금정구,705.0,1177.0,56.2,26.8,0.0,17.0,55.7,29.3,0.0,15.0,9.0,-15.8,0.0,6.800000000000001
서울특별시,동대문구,703.0,1958.0,22.6,46.4,0.0,31.0,25.0,49.5,0.0,25.5,-7.5,1.3999999999999986,0.0,6.100000000000001
충청북도,청주시 청원구,693.0,1734.0,65.2,20.3,0.0,14.4,71.2,18.6,0.0,10.1,8.300000000000004,-6.099999999999998,0.0,-2.299999999999999
서울특별시,강동구,686.0,2380.0,39.7,36.9,0.0,23.5,37.4,36.8,0.0,25.8,7.600000000000001,8.2,0.0,-15.700000000000003
서울특별시,영등포구,676.0,1860.0,32.2,48.5,0.0,19.2,32.4,43.7,0.0,23.9,-3.0999999999999943,7.5,0.0,-4.5
부산광역시,수영구,674.0,1239.0,34.3,49.1,0.0,16.6,34.9,47.7,0.0,17.4,-0.20000000000000284,-1.3999999999999986,0.0,1.6000000000000014
경기도,용인시 처인구,670.0,1232.0,53.0,30.7,0.0,16.3,54.0,30.6,0.0,15.4,-3.5,2.5,0.0,1.0
광주광역시,남구,657.0,1224.0,50.2,29.7,0.0,20.1,52.1,29.7,0.0,18.2,3.1000000000000014,-4.099999999999998,0.0,1.1000000000000014
서울특별시,양천구,640.0,1575.0,44.1,40.6,0.0,15.3,45.3,36.8,0.0,17.9,-2.5,6.200000000000003,0.0,-3.8000000000000007
대구광역시,중구,639.0,1110.0,26.8,56.8,0.0,16.4,27.9,54.7,0.0,17.4,3.3000000000000007,-2.200000000000003,0.0,-1.0
서울특별시,서대문구,639.0,1528.0,29.6,50.7,0.0,19.7,30.0,46.5,0.0,23.5,6.5,9.400000000000006,0.0,-15.8
경상남도,거제시,635.0,1247.0,70.4,7.2,0.0,22.4,68.3,7.7,0.0,24.0,1.8000000000000114,-0.5,0.0,-1.3000000000000007
