구분,시도,시군구,심화행동라벨,근거
기다려야 할 지역,서울특별시,도봉구,보수 접근,"전세가율 62.9%, 월세비중 35.5%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,인천광역시,부평구,보수 접근,"전세가율 68.3%, 월세비중 61.9%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,인천광역시,부평구,보수 접근,"전세가율 68.3%, 월세비중 61.9%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,강원특별자치도,춘천시,보수 접근,"전세가율 79.2%, 월세비중 42.7%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,강원특별자치도,춘천시,보수 접근,"전세가율 79.2%, 월세비중 42.7%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,인천광역시,남동구,보수 접근,"전세가율 70.9%, 월세비중 38.2%, 매매가 전세보다 1개월 선행"
기다려야 할 지역,서울특별시,서초구,보수 접근,"전세가율 36.0%, 월세비중 45.4%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,서울특별시,서초구,보수 접근,"전세가율 36.0%, 월세비중 45.4%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
기다려야 할 지역,서울특별시,마포구,보수 접근,"전세가율 44.9%, 월세비중 37.7%, 매매가 전세보다 3개월 선행"
기다려야 할 지역,서울특별시,강남구,보수 접근,"전세가율 37.0%, 월세비중 43.3%, 매매가 전세보다 2개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,서울특별시,강남구,보수 접근,"전세가율 37.0%, 월세비중 43.3%, 매매가 전세보다 2개월 선행, 월세 비중 높음"
기다려야 할 지역,서울특별시,용산구,보수 접근,"전세가율 38.2%, 월세비중 35.4%, 전세가 매매보다 8개월 선행"
기다려야 할 지역,인천광역시,미추홀구,보수 접근,"전세가율 70.4%, 월세비중 81.5%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,인천광역시,미추홀구,보수 접근,"전세가율 70.4%, 월세비중 81.5%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
기다려야 할 지역,제주특별자치도,제주시,보수 접근,"전세가율 68.4%, 월세비중 60.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,제주특별자치도,제주시,보수 접근,"전세가율 68.4%, 월세비중 60.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,제주특별자치도,제주시,보수 접근,"전세가율 68.4%, 월세비중 60.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,북구,우선 매수 검토,"전세가율 71.9%, 월세비중 32.9%, 전세가 매매보다 9개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,강원특별자치도,원주시,우선 매수 검토,"전세가율 78.7%, 월세비중 28.1%, 전세가 매매보다 4개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,광주광역시,광산구,우선 매수 검토,"전세가율 74.7%, 월세비중 23.9%, 전세가 매매보다 2개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,광주광역시,남구,우선 매수 검토,"전세가율 73.1%, 월세비중 40.1%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,광주광역시,남구,우선 매수 검토,"전세가율 73.1%, 월세비중 40.1%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,부산진구,우선 매수 검토,"전세가율 69.0%, 월세비중 38.4%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,순천시,우선 매수 검토,"전세가율 80.4%, 월세비중 32.0%, 전세가 매매보다 3개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,진주시,우선 매수 검토,"전세가율 77.7%, 월세비중 37.0%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,익산시,회피,"전세가율 85.2%, 월세비중 17.5%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,홍성군,회피,"전세가율 67.6%, 월세비중 20.0%, 전세가 매매보다 24개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,밀양시,회피,"전세가율 78.8%, 월세비중 78.9%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,밀양시,회피,"전세가율 78.8%, 월세비중 78.9%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,서산시,회피,"전세가율 85.8%, 월세비중 25.6%, 전세가 매매보다 3개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,서구,회피,"전세가율 70.0%, 월세비중 28.6%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,김제시,회피,"전세가율 87.5%, 월세비중 16.7%, 전세가 매매보다 4개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,충청북도,음성군,회피,"전세가율 61.9%, 월세비중 44.3%, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,충청남도,당진시,회피,"전세가율 82.7%, 월세비중 34.1%, 전세가 매매보다 2개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,사천시,회피,"전세가율 81.0%, 월세비중 43.5%, 매매가 전세보다 12개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,충청남도,논산시,회피,"전세가율 78.8%, 월세비중 9.1%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,무안군,회피,"전세가율 84.2%, 월세비중 36.4%, 전세가 매매보다 9개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,거창군,회피,"전세가율 87.0%, 월세비중 36.4%, 전세가 매매보다 13개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상북도,경산시,회피,"전세가율 69.3%, 월세비중 23.8%, 전세가 매매보다 6개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,경기도,화성시 효행구,회피,"전세가율 72.0%, 월세비중 44.8%, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,경상남도,창원시 마산회원구,회피,"전세가율 75.1%, 월세비중 33.9%, 전세가 매매보다 8개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,창원시 진해구,회피,"전세가율 80.6%, 월세비중 19.5%, 전세가 매매보다 6개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,가평군,회피,"전세가율 74.8%, 월세비중 34.9%, 전세가 매매보다 2개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상북도,칠곡군,회피,"전세가율 74.1%, 월세비중 25.0%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,경상북도,상주시,회피,"전세가율 69.7%, 월세비중 66.7%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,충청남도,예산군,회피,"전세가율 69.9%, 월세비중 50.0%, 매매가 전세보다 10개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경상북도,영천시,회피,"전세가율 73.9%, 월세비중 52.9%, 매매가 전세보다 5개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,부산광역시,기장군,회피,"전세가율 75.3%, 월세비중 44.7%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,기장군,회피,"전세가율 75.3%, 월세비중 44.7%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,강서구,회피,"전세가율 68.3%, 월세비중 13.3%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,충청북도,제천시,회피,"전세가율 84.3%, 월세비중 58.2%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청북도,제천시,회피,"전세가율 84.3%, 월세비중 58.2%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,여수시,회피,"전세가율 78.1%, 월세비중 23.2%, 전세가 매매보다 3개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,대전광역시,대덕구,회피,"전세가율 74.3%, 월세비중 9.2%, 전세가 매매보다 3개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,완주군,회피,"전세가율 74.8%, 월세비중 18.2%, 전세가 매매보다 2개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,경상북도,영주시,회피,"전세가율 64.2%, 월세비중 42.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상북도,영주시,회피,"전세가율 64.2%, 월세비중 42.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,정읍시,회피,"전세가율 67.0%, 월세비중 38.5%, 전세가 매매보다 1개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,경기도,이천시,회피,"전세가율 83.5%, 월세비중 42.8%, 매매가 전세보다 2개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,경상북도,포항시 북구,회피,"전세가율 81.3%, 월세비중 35.6%, 전세가 매매보다 1개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상북도,예천군,회피,"전세가율 79.2%, 월세비중 32.1%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
월세 비중 높아 해석 주의 지역,충청남도,천안시 동남구,회피,"전세가율 79.8%, 월세비중 53.6%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,천안시 동남구,회피,"전세가율 79.8%, 월세비중 53.6%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,전라남도,나주시,회피,"전세가율 83.6%, 월세비중 42.2%, 전세가 매매보다 5개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,나주시,회피,"전세가율 83.6%, 월세비중 42.2%, 전세가 매매보다 5개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,충청남도,아산시,회피,"전세가율 77.3%, 월세비중 63.3%, 전세가 매매보다 9개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,아산시,회피,"전세가율 77.3%, 월세비중 63.3%, 전세가 매매보다 9개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경기도,안성시,회피,"전세가율 77.8%, 월세비중 74.9%, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,경기도,부천시 오정구,회피,"전세가율 60.9%, 월세비중 20.3%, 전세가 매매보다 7개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,인천광역시,강화군,회피,"전세가율 75.8%, 월세비중 38.5%, 전세가 매매보다 1개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,거제시,회피,"전세가율 77.9%, 월세비중 48.9%, 전세가 매매보다 13개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상남도,거제시,회피,"전세가율 77.9%, 월세비중 48.9%, 전세가 매매보다 13개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,고성군,회피,"전세가율 86.5%, 월세비중 40.0%, 매매가 전세보다 8개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,강원특별자치도,강릉시,회피,"전세가율 80.0%, 월세비중 36.6%, 전세가 매매보다 18개월 선행, 임차 선행"
매매보다 임차가 먼저 강한 지역,서울특별시,금천구,회피,"전세가율 63.1%, 월세비중 33.6%, 전세가 매매보다 6개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,대전광역시,동구,회피,"전세가율 77.7%, 월세비중 48.4%, 전세가 매매보다 4개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,대전광역시,동구,회피,"전세가율 77.7%, 월세비중 48.4%, 전세가 매매보다 4개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청북도,청주시 서원구,회피,"전세가율 86.5%, 월세비중 28.4%, 전세와 매매 전환 시점이 거의 동시, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,광양시,회피,"전세가율 84.1%, 월세비중 36.1%, 전세가 매매보다 4개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,경상남도,창녕군,회피,"월세비중 100.0%, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,경기도,양평군,회피,"전세가율 67.5%, 월세비중 27.8%, 전세가 매매보다 2개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,충청북도,충주시,회피,"전세가율 77.3%, 월세비중 48.7%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청북도,충주시,회피,"전세가율 77.3%, 월세비중 48.7%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,인천광역시,중구,회피,"전세가율 64.4%, 월세비중 35.2%, 전세가 매매보다 3개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,충청남도,태안군,회피,"월세비중 60.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,충청남도,공주시,회피,"전세가율 64.1%, 월세비중 36.4%, 전세가 매매보다 3개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,강원특별자치도,평창군,회피,"월세비중 66.7%, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경상남도,통영시,회피,"전세가율 84.0%, 월세비중 63.3%, 매매가 전세보다 10개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,부산광역시,사상구,회피,"전세가율 67.8%, 월세비중 43.8%, 전세가 매매보다 9개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,부산광역시,사상구,회피,"전세가율 67.8%, 월세비중 43.8%, 전세가 매매보다 9개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,부산광역시,영도구,회피,"전세가율 71.7%, 월세비중 43.1%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,강원특별자치도,동해시,회피,"전세가율 74.5%, 월세비중 52.3%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,경기도,동두천시,회피,"전세가율 79.1%, 월세비중 37.5%, 전세가 매매보다 7개월 선행, 임차 선행"
월세 비중 높아 해석 주의 지역,전북특별자치도,남원시,회피,"전세가율 76.2%, 월세비중 70.0%, 전세가 매매보다 9개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,남원시,회피,"전세가율 76.2%, 월세비중 70.0%, 전세가 매매보다 9개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,충청북도,진천군,회피,"전세가율 72.6%, 월세비중 51.6%, 전세가 매매보다 10개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청북도,진천군,회피,"전세가율 72.6%, 월세비중 51.6%, 전세가 매매보다 10개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,광주광역시,동구,회피,"전세가율 70.8%, 월세비중 42.6%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,광주광역시,동구,회피,"전세가율 70.8%, 월세비중 42.6%, 전세가 매매보다 2개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,대구광역시,서구,회피,"전세가율 59.4%, 월세비중 71.7%, 전세가 매매보다 3개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,전라남도,해남군,회피,"월세비중 100.0%, 매매가 전세보다 4개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,대구광역시,남구,회피,"전세가율 66.2%, 월세비중 33.6%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
월세 비중 높아 해석 주의 지역,서울특별시,중구,회피,"전세가율 43.6%, 월세비중 42.5%, 매매가 전세보다 4개월 선행, 월세 비중 높음"
매매보다 임차가 먼저 강한 지역,경상북도,경주시,회피,"전세가율 78.9%, 월세비중 23.8%, 전세가 매매보다 1개월 선행, 임차 수요 기반 양호, 임차 선행"
매매보다 임차가 먼저 강한 지역,경기도,여주시,회피,"전세가율 78.5%, 월세비중 30.1%, 전세와 매매 전환 시점이 거의 동시, 임차 선행"
월세 비중 높아 해석 주의 지역,전라남도,영광군,회피,"전세가율 78.3%, 월세비중 40.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,영광군,회피,"전세가율 78.3%, 월세비중 40.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전라남도,고흥군,회피,"전세가율 67.5%, 월세비중 20.0%, 전세가 매매보다 3개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,서울특별시,종로구,회피,"전세가율 53.3%, 월세비중 49.6%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,인천광역시,동구,회피,"전세가율 76.2%, 월세비중 52.4%, 매매가 전세보다 2개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,경상북도,문경시,회피,"전세가율 73.2%, 월세비중 75.0%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상북도,문경시,회피,"전세가율 73.2%, 월세비중 75.0%, 전세가 매매보다 1개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,강원특별자치도,영월군,회피,"월세비중 100.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,강원특별자치도,삼척시,회피,"전세가율 80.6%, 월세비중 65.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,강원특별자치도,삼척시,회피,"전세가율 80.6%, 월세비중 65.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,충청북도,옥천군,회피,"전세가율 73.6%, 월세비중 53.8%, 매매가 전세보다 1개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,전북특별자치도,부안군,회피,"전세가율 68.5%, 월세비중 50.0%, 전세가 매매보다 3개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,전북특별자치도,부안군,회피,"전세가율 68.5%, 월세비중 50.0%, 전세가 매매보다 3개월 선행, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,전라남도,담양군,회피,"월세비중 66.7%, 매매가 전세보다 9개월 선행, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,제주특별자치도,서귀포시,회피,"전세가율 72.3%, 월세비중 53.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,제주특별자치도,서귀포시,회피,"전세가율 72.3%, 월세비중 53.1%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,경상북도,안동시,회피,"전세가율 83.9%, 월세비중 54.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,경상북도,안동시,회피,"전세가율 83.9%, 월세비중 54.3%, 전세가 매매보다 6개월 선행, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,금산군,회피,"전세가율 69.2%, 월세비중 25.0%, 전세가 매매보다 6개월 선행, 임차 수요 기반 양호, 임차 선행"
월세 비중 높아 해석 주의 지역,경상북도,성주군,회피,"월세비중 100.0%, 월세 비중 높음"
월세 비중 높아 해석 주의 지역,충청남도,보령시,회피,"전세가율 87.4%, 월세비중 50.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
매매보다 임차가 먼저 강한 지역,충청남도,보령시,회피,"전세가율 87.4%, 월세비중 50.0%, 전세와 매매 전환 시점이 거의 동시, 월세 비중 높음, 임차 선행"
월세 비중 높아 해석 주의 지역,강원특별자치도,양양군,회피,"월세비중 57.1%, 매매가 전세보다 3개월 선행, 월세 비중 높음"
